guide_target,average_fitness,chosen_guide_fitness
AHR,-0.3338579129215,-0.33158748110999997
ARID1A,-0.319111761885,-0.41170972874399997
ARRDC3,-0.1262365690241,-0.149085426842
ATL1,-0.425927346635,-0.459068855788
BAK1,-0.41590571772,-0.413685938254
BCL2L11,-0.10898472082709999,-0.146784973787
BCORL1,-0.053102345851750006,-0.09460306075089998
BCR,-0.0015768977134500012,
BPGM,-0.1194346709414,-0.139296502951
CBARP,-0.12552208330984999,-0.16337801850199998
CBFA2T3,-0.16410760090249998,-0.185163564002
CBL,-0.12273122445000001,-0.122512520509
CDKN1A,-0.23301827092549998,-0.288498240001
CDKN1B,-0.2644821884145,-0.270216640642
CDKN1C,-0.32894958825,-0.39821702438900003
CEBPA,-0.596125102396,-0.731820936056
CEBPB,-0.3173470565045,-0.46215695452
CEBPE,-0.41754922157200003,-0.498322075369
CELF2,-0.07308715323779501,-0.14023297444
CITED1,-0.1992101849938,-0.341754600285
CKS1B,-0.163053877835,-0.163245635104
CLDN6,-0.25957753524000005,-0.302748543835
CNN1,-0.098156344427,-0.0984339867021
CNNM4,-0.136528176045,-0.16888585289500002
COL1A1,-0.393076063693,-0.519392351776
COL2A1,-0.3528721556335,-0.356346932063
CSRNP1,0.0948664219969,0.09224211738230001
DLX2,-0.2013144510685,-0.262070276627
DUSP9,-0.34188396473250005,-0.33603787897
EGR1,-0.12271616428124998,-0.177090618879
ELMSAN1,0.0409066986423,0.04356676230769999
ETS2,-0.123741027069,-0.143249271288
FEV,-0.173822676844,-0.16425289473899998
FOSB,-0.1477506880885,-0.152158762656
FOXA1,-0.23675379143699998,-0.27965900690699996
FOXA3,-0.2419412686545,-0.35390153261600005
FOXF1,-0.2193566433845,-0.324847554381
FOXL2,-0.2621773576545,-0.375045686364
FOXL2NB,-0.5211129507435,-0.537680719969
FOXO4,-0.4386367431685,-0.43459056893799997
GCH1,0.02635866372525,
GLB1L2,-0.0724278122013,-0.12956106898800002
HES7,-0.479597640481,-0.467859920882
HK2,-0.09098238852615,-0.0963254357416
HNF4A,-0.3762746561425,-0.43701455123800004
HOXA13,-0.54128948436,-0.626584212042
HOXB9,-0.16938463164349998,-0.226982820609
HOXC13,-0.47414503327050006,-0.507428370202
IER5L,-0.34618427979099997,-0.337726325241
IGDCC3,-0.280855602687,-0.299919353156
IKZF3,-0.44949444803650007,-0.475278776316
IRF1,-0.13183171300045,-0.211635418984
ISL2,-0.136452498732,-0.13511393795600002
JUN,-0.2683676921445,-0.35136859312
KIF18B,-0.222691876384,-0.235315247064
KIF2C,-0.10308603150565,-0.154098784713
KLF1,0.1507257869135,0.155925787409
KMT2A,-0.0845673678703,-0.102720940374
LHX1,-0.19904553704400002,-0.21093986333599998
LYL1,-0.07689452055610001,-0.0967393248793
MAML2,0.06524500864329999,0.062019866028000005
MAP2K3,0.07183915970825001,0.119417424886
MAP2K6,0.08249414699185001,0.0927923808406
MAP4K3,-0.0762179999683,-0.07925933845580001
MAP4K5,-0.0870260915799,-0.101906633934
MAP7D1,-0.10687489561875,-0.118334336988
MAPK1,-0.1082048277792,-0.202067900393
MCOLN3,-0.01816188837586,
MEIS1,-0.12793391736049997,-0.130894442292
MIDN,-0.2741540371875,-0.335927832154
NCL,-0.09470382759165,-0.0977817928332
NIT1,-0.4418525749625,-0.568357120246
OSR2,-0.13818856388515,-0.209672303696
PEG10,-0.0947538698229,
PIK3CB,-0.0254131381709,
PLEKHO2,-0.3097470953015,
PLK4,-0.12512022851925,-0.203735580402
POU3F2,-0.20455471062449998,-0.217295498268
PRDM1,-0.46420570262899996,-0.487249509423
PRTG,-0.311467884623,-0.386728391338
PTPN1,-0.2681279020585,-0.324533349861
PTPN12,-0.06994307425405001,-0.08303419258019999
PTPN13,-0.17527264089572,-0.333692189067
PTPN9,-0.09355271484444999,-0.113079151608
RHOXF2B,-0.365154620843,-0.395499413151
RP5-862P8.2,-0.28176957666200003,-0.315948917137
RREB1,-0.213651252906,-0.27661059991799997
RUNX1T1,-0.06545923754895,-0.0699694342769
S1PR2,-0.16798708627199999,-0.187242871809
SAMD1,-0.24966375916250003,-0.30451849489300004
SET,-0.1824262894965,-0.23831199642700002
SGK1,-0.1258079876495,-0.220131876802
SLC38A2,0.027187764725849998,
SLC4A1,-0.4145887960465,-0.474995822196
SLC6A9,-0.0532137879695,-0.058486063937999995
SNAI1,-0.33395317988400003,-0.330442402349
SPI1,-0.461253314851,-0.467283530532
STIL,-0.242488802111,-0.35680173351899996
TBX2,-0.04810208094229999,-0.12024178814200001
TBX3,-0.08979796698709999,-0.14891661136
TGFBR2,-0.04515544310990001,-0.05808853747880001
TMEM173,-0.010870760748735,
TMSB4X,-0.042525013507650006,-0.0481952717376
TP73,-0.597110716046,-0.591033445199
TSC22D1,-0.0840574815574,-0.0950653796884
UBASH3A,-0.08123535250790001,-0.09492064435049999
UBASH3B,-0.11236993689,-0.11728216306299999
ZBTB1,-0.15049668043335002,-0.19989145910300002
ZBTB10,-0.4223991424905,-0.496542029195
ZBTB25,-0.06435501235345001,-0.109068361848
ZC3HAV1,0.10842790995009999,0.11816438364399999
ZNF318,-0.04519259212495,-0.0657639296202
negative,-0.00017478105779920004,
